Year,City Code,City ,GDP,Proportion of primary industry,Proportion of secondary industry,Proportion of the third industry,Per Capita GDP,Urbanization Rate,Unemployment,Average Wage,City Area,Cultivated Area,Grain Yield,GDP of industries above designated size,GDP of foreign-invested enterprises,Total Retail Consumer Goods,Expenditure on education,Public libraries per 100 inhabitants,Number of hospital beds,Total passenger traffic,Total freight volume,Total telecommunication services,Number of international Internet users,Number of participants in medical insurance
1998,130400,邯郸,4792422,20.4,48.1,31.5,,0.175668712,,5920,12062,671,416.73,,,1396904,,8,20981,8545,11298,,,
1997,130400,邯郸,4411249,21.86,47.95,30.19,,0.172395859,,5395,12062,672,397.05,,,1256555,,11,,4527,10864,,,
1996,130400,邯郸,3807283,21.8,49,29.1,,0.168508978,,5233,12062,669,385.72,,,1070885,,,,5174,13291,,,
1995,130400,邯郸,2898612,25.5,44.1,30.4,,0.163292542,,4704,12062,657,325.92,,,895210,,,,5124,12117,,,
1994,130400,邯郸,2227146,23.534,45.132,31.334,,0.158543702,,4093.97,12062,676,304.9,,,705563,,,,5163,6949,,,
1993,130400,邯郸,1712600,,,,,0.156478248,,,12062,677,287.5,,,548084,20799,,,5014,6720,,,
1992,130400,邯郸,699600,,,,,0.42563578,,,,,24.2,,,,5580,,,1449,3408,,,
1991,130400,邯郸,554800,6.489,62.888,30.624,2631,0.421166408,,,2791,112,30,,,246212,,,,1388,3450,,,
1990,130400,邯郸,507600,7.545,61.446,31.028,2476,0.421629119,,,2791,112,38,,,227408,,,,1248,3628,,,
2021,130500,邢台,24270000,13.64,39.51,46.85,34193,NaN,,73967,,,,,,10258752,1087480,,31811,,,12635,16620000,864815
2020,130500,邢台,22000000,14.18,37.41,48.41,30909,#DIV/0!,,70311,,,,,,9790869,1183504,,31597,,,,,827102
2019,130500,邢台,21200000,13.37,39.3,47.33,28707,NaN,19393,67415,12433,,,,,9860150,1101023,,29513,,,347858,1960000,751663
2018,130500,邢台,21507611,12.34,40.77,46.89,29210,NaN,20739,65235,12433,,,,,11481129,974252,,29574,,,376423,1850000,704864
2017,130500,邢台,20906243,,,,28499,NaN,19427,59431,12433,,482.63,,,10761579,897944,,26654,,,357353,1610000,669500
2016,130500,邢台,19757460,13.65,46.86,39.49,27038,NaN,20102,50205,12433,,457.46,29336505,1069546,9698859,824884,,31465,,,350823,1360000,649700
2015,130500,邢台,17647323,15.62,44.97,39.41,24256,NaN,20654,46944,12433,,451.1,27029340,902945,8753169,764423,19,29512,,,330448,1020000,586543
2014,130500,邢台,16469408,16.6,47.36,36.04,22758,NaN,20852,41194.73,12433,,444.79,27203561,2354056,7961821,564415,18,29338,4469,11614,341323,920000,1648154
2013,130500,邢台,16045756,15.88,52.38,31.74,21030,NaN,19038,39707.41,12433,,448.47,26957361,2582374,7084604,546510,17,26805,8555,15425,351381,810000,614258
2012,130500,邢台,15320620,15.69,54.15,30.16,21361,NaN,22465,37932.1,12433,,453.2,24855289,2639845,6240519,573925,14,23705,9375,14333,319508,710000,1643835
2011,130500,邢台,14289231,15.31,55.52,29.16,20027,NaN,21024,34829.75,12433,,452.8,22548966,2863034,5420520,502452,13,22645,8449,12752,282920,613224,1481467
2010,130500,邢台,12120943,15.65,55.61,28.74,17189,NaN,21110,28156.86,12486,,424.1,17645968,2641527,4607269,360707,12,20609,7207,10253,247795,482351,
2009,130500,邢台,10562913,15.04,56.5,28.46,15174,NaN,20080,25904.94,12486,,403.32,14201544,2080444,3896296,313897,12,19700,6484,8544,231647,374612,
2008,130500,邢台,9890039,15.24,57.06,27.69,14315,0.233478679,21890,22545.56,12434,,398.78,14144837,3387641,3303515,263284,12,18256,6402,8472,204549,285716,
2007,130500,邢台,8907487,16.46,56.48,27.06,12978,0.25430414,20800,18189.96,12486,647,384.56,11280452,2293306,2729002,200739,11,16571,6165,4810,201255,201963,
2006,130500,邢台,7909297,16.93,57.95,25.12,11598,0.227294014,22810,15166.35,12486,646,374.1,8906364,1642390,2316645,130505,11,15952,5935,4499,178784,139031,
2005,130500,邢台,6807485,18.26,57.3,24.44,10041,0.203753629,21440,13545.9,12486,648,363.4,7061688,172961,2013475,119773,10,13643,5758,3826,159174,119008,
2004,130500,邢台,6355770,17.73,57.05,25.22,9491,0.207419974,18500,11715.8,12486,648,324,5964409,166266,1804446,97918,10,13684,5473,3828,265949,94945,
2003,130500,邢台,5146061,18.52,54.58,26.9,7731,0.221832674,17050,10100.3,12486,648,341.2,3766264,106488,1562632,85336,10,13781,4307,3805,118444,208715,
2002,130500,邢台,4394074,19.27,52.87,27.86,6632,0.163174307,5228,9147,12486,650,352.8,2902977,80510,1404351,,10,13583,5433,5500,121457,140673,
2001,130500,邢台,4063406,20.13,52.46,27.41,6155,0.157433168,6779,7752.24,12486,670,361.01,2628706,53797,1269667,,10,13521,5060,5894,81724,24795,
2000,130500,邢台,3703839,21.2,52.2,26.6,,0.149710141,13800,6807,12486,675,361.82,2415070,35879,1152300,,10,12959,4286,5566,,,
1999,130500,邢台,3393337,23.3,50.8,25.9,,0.13173009,10700,6255,12486,676,369.25,2188140,26894,1045973,,10,,4079,5450,,,
1998,130500,邢台,3201335,26.1,49.9,24,,0.130276734,,5585,12486,676,367.17,,,951585,,9,12862,3823,5347,,,
1997,130500,邢台,2908907,27.1,48.75,24.15,,0.128409961,,5113,12486,676,359.2,,,857509,,8,,2211,5097,,,
1996,130500,邢台,2561207,30.8,45.7,23.5,,0.125344852,,4479,12486,675,331.79,,,723587,,,,1952,5309,,,
1995,130500,邢台,2005161,32.6,40.9,26.5,,0.122745222,,4033,12486,679,298.59,,,567399,,,,2182,5173,,,
1994,130500,邢台,1519083,29.193,42.843,27.964,,0.114464547,,3590.36,12486,680,248.4,,,433560,,,,2209,4971,,,
1993,130500,邢台,1020300,,,,,0.111893282,,,12486,681,227.7,,,295346,17668,,,2320,2940,,,
1992,130500,邢台,239700,,,,,0.388978371,,,,,17.9,,,,2665,,,1275,692,,,
1991,130500,邢台,200300,11.633,62.207,26.211,2387,0.381998583,,,2112,43.333,16,,,106660,,,,1146,672,,,
1990,130500,邢台,188500,11.141,65.358,23.554,2290,0.379567308,,,2112,43.333,17.47,,,89996,,,,1207,548,,,
2021,130600,保定,44020000,11.77,36.69,51.54,38157,NaN,,81454,,,,,,17003408,1931191,,53311,,,24554,30040000,1490286
2020,130600,保定,39540000,12.42,33.43,54.15,34269,#DIV/0!,,75635,,,,,,15532949,1915839,,54419,,,,,1404132
2019,130600,保定,37720000,11.75,34.95,53.3,31856,NaN,48052,71315,22185,,,,,15771740,1860080,,47662,,,679604,3390000,1343844
2018,130600,保定,35897885,11.54,42.19,46.27,31057,NaN,50509,66548,22185,,,,,21541507,1654492,,46703,,,766036,3120000,
2017,130600,保定,34497444,,,,29580,NaN,43820,63835,22185,,565.73,,,18491338,1445318,,44388,,,729698,2840000,1193991
2016,130600,保定,34771269,13.02,48.37,38.61,29992,NaN,53900,54395,22185,,570.68,47215014,1833847,18281891,1307572,,47299,,,707538,2480000,1125200
2015,130600,保定,30003400,11.78,50.02,38.2,29067,NaN,50019,50477,22185,,570.02,41202379,2035963,15093077,1221166,18,45300,,,669914,1950000,1109900
2014,130600,保定,30352036,14.01,51.5,34.48,26501,NaN,47966,43046.73,22185,,573.27,45785466,2444202,15018000,870391,18,37012,10730,21726,695609,1740000,2092800
2013,130600,保定,29043115,14.09,54.36,31.54,24951,NaN,47000,39678.67,20900,,596.37,41333650,2664189,12204863,781797,16,34900,15203,26879,714206,1570000,1020900
2012,130600,保定,27209000,13.9,54.98,31.12,24053,NaN,47228,34913.54,22185,,604.5,41135520,2653991,11743154,789651,16,37037,16460,22685,652895,,1892500
2011,130600,保定,24499000,14,54.63,31.36,21796,NaN,42200,32277.69,22185,,614.7,36278533,3295111,10184836,658557,16,31682,15677,18967,594034,1227655,1866233
2010,130600,保定,20503000,14.81,51.6,33.59,18451,NaN,42605,28090.88,20584,,585.1,28748635,2661904,8642197,552003,14,29937,14954,14788,529543,956036,
2009,130600,保定,17300023,15.35,50.37,34.29,15770,NaN,42308,24967.69,20584,,559.37,20764668,2146639,7302912,453761,14,28397,12762,11711,509675,702460,
2008,130600,保定,15808884,15.62,48.3,36.07,14518,0.263985356,39684,21765.03,20584,,539.21,17063345,2363062,6196734,395009,14,28727,11034,8772,466019,590785,
2007,130600,保定,13751799,15.67,49.68,34.65,12703,0.268490249,39269,17891.98,20584,794,517.87,13707009,1553545,5092562,290885,14,22130,9278,8921,460431,347548,
2006,130600,保定,11999550,17.32,48.95,33.72,11146,0.267684073,37662,14977.46,20584,796,488.9,11186364,1008751,4410844,197862,15,20530,8196,7738,389703,349562,
2005,130600,保定,10721423,18.29,48.8,32.91,10020,0.232729337,30767,13274.42,20584,799,471.4,9467339,615429,3850786,185077,15,18360,7931,6888,349119,394885,
2004,130600,保定,11108786,16.02,48.98,34.99,10261,0.234976293,27341,11875.71,20584,799,446.7,7432629,439177,3678538,163088,15,18075,7743,6503,628073,358435,
2003,130600,保定,9248071,16.13,47.54,36.32,8614,0.232873405,27649,10584.58,20584,799,441.8,5144919,320852,3162089,140116,14,18903,6218,5716,263228,220867,
2002,130600,保定,8234564,18.3,45.29,36.41,7723,0.162017699,12725,9695.29,22109,773,421.2,4063770,240445,2830565,,14,19400,7501,6555,229958,179109,
2001,130600,保定,7473056,19.94,44.32,35.74,7058,0.157149177,14575,8271.94,22109,793,498.17,3450313,238577,2542262,,14,19897,7312,6666,199017,168118,
2000,130600,保定,7022238,20.5,44.6,35,,0.152307211,14927,7543,22092,794,535.86,3184894,218999,2306900,,14,19579,7273,6513,,,
1999,130600,保定,6365742,22.5,43.5,33.9,,0.14822539,13526,6838,22089,797,568.5,2825333,170313,2073657,,14,,7035,6547,,,
1998,130600,保定,5939500,25.6,41,33.5,,0.144568951,,6155,22089,798,560.14,,,1888759,,14,19498,6891,6403,,,
1997,130600,保定,5450860,26.87,41.55,31.58,,0.142612928,,5491,22113,789,548.15,,,1665361,,11,,5283,5735,,,
1996,130600,保定,4604259,28.7,39.5,31.8,,0.138638044,,4881,22113,802,526,,,1372287,,,,5205,5538,,,
1995,130600,保定,3753772,29.7,39.5,30.8,,0.13407406,,4546,22113,804,503.43,,,1079073,,,,3416,4424,,,
1994,130600,保定,903523,13.762,50.818,35.42,,0.331082628,,4640.54,1798,101,66.3,,,300297,,,,796,1313,,,
1993,130600,保定,643700,,,,,0.325164721,,,1798,101,64.6,,,222839,6318,,,922,1316,,,
1992,130600,保定,467800,,,,,0.322874671,,,,,62.5,,,,5384,,,1701,1079,,,
1991,130600,保定,382400,16.344,51.438,32.218,2278,0.31658678,,,1798,102,60,,,196758,,,,1509,835,,,
1990,130600,保定,335200,16.527,50.925,32.578,2039,0.316944478,,,1798,102.667,54.84,,,169620,,,,1439,859,,,
2021,130700,张家口,17280000,16.09,27.72,56.19,42049,NaN,,77528,,,,,,6407441,846419,,21962,,,3934,7190000,904669
2020,130700,张家口,16000000,16.75,26.94,56.31,38637,#DIV/0!,,73958,,,,,,5622514,875496,,21554,,,,,755243
2019,130700,张家口,15510000,15.72,28.72,55.57,35025,NaN,36397,70937,36797,,,,,5594676,836265,,20921,,,261880,1320000,725228
2018,130700,张家口,15366202,14.75,33.74,51.51,34661,NaN,36492,69520,36797,,,,,7950923,783868,,20837,,,269490,1240000,
2017,130700,张家口,14270162,,,,32219,NaN,36879,63976,36797,,177.99,,,7525211,799876,,18554,,,269353,1050000,664692
2016,130700,张家口,14659911,18.15,37.32,44.53,33142,NaN,39522,52277,36797,,167.21,12565834,1153015,6831739,713234,,22151,,,261229,830000,655294
2015,130700,张家口,13635443,17.87,40.01,42.12,30840,NaN,33425,48892,36797,,159.39,13463322,1172554,6181190,647303,31,19790,,,251208,580000,647802
2014,130700,张家口,13489726,17.76,42.66,39.58,30540,NaN,40124,39399.56,36873,,156.92,14019052,1099310,5622033,514549,30,19006,3521,7122,269152,560000,1181177
2013,130700,张家口,13169971,18.32,42.13,39.56,28201,NaN,37600,36290.59,36873,,166.07,13338166,947595,4997744,496296,29,19279,5235,9780,279853,510000,630200
2012,130700,张家口,12335529,16.68,42.89,40.43,28139,NaN,30393,35658.09,36873,,154.7,11995431,909857,4395960,516341,33,12005,4860,9310,262835,490000,1159842
2011,130700,张家口,11186100,16.12,44.2,39.69,25649,NaN,34596,33437.11,36873,,154.7,11122060,851046,3820468,406065,26,14948,4305,8872,262935,411217,1142628
2010,130700,张家口,9664158,15.83,42.96,41.21,22517,NaN,32652,30588.82,36873,,135.3,8934836,1165903,3244529,291195,25,14025,3962,6982,211616,370731,
2009,130700,张家口,8003407,15.17,41.83,43,18948,NaN,32244,26680.9,36873,,81.32,6842059,981573,2743957,266082,24,13343,2974,5199,201157,305704,
2008,130700,张家口,7203705,16.5,43.97,39.53,17134,0.320186221,31409,23598.53,36873,,131.09,6891192,950757,2326241,208020,24,12837,3153,5384,181601,229775,
2007,130700,张家口,5663192,15.25,44.91,39.85,13520,0.31464631,31000,18919.28,36873,840,76.69,5515862,899816,1902183,167675,25,11838,3333,7170,,214395,
2006,130700,张家口,4841665,16.37,44.37,39.27,11580,0.309406759,48611,15335.86,36873,836,126.5,4227582,714621,1652153,99741,24,11052,3240,6858,158690,179312,
2005,130700,张家口,4157878,16.2,44.72,39.08,9947,0.289924271,46000,13504.58,36873,849,106.6,3663054,685236,1461380,89840,23,10812,3171,6520,144646,159856,
2004,130700,张家口,4001082,14.55,48.65,36.8,8889,0.297496776,27100,12342.82,36873,887,129.5,3425211,623861,1386930,79209,23,10656,3076,6195,195631,169130,
2003,130700,张家口,3199369,14.67,45.44,39.89,7102,0.306320908,16632,10496.24,36873,924,95.2,2218685,98027,1249214,64814,22,10703,2967,5730,96756,48363,
2002,130700,张家口,2783715,12.81,43.54,43.65,6190,0.250366227,14157,8960.55,36862,777,62.6,1824457,39686,1179304,,22,11228,3040,5859,97686,26031,
2001,130700,张家口,2580246,11.51,44.78,43.7,5742,0.242638214,14425,7805.84,36862,886,38.63,1691935,34647,1102177,,22,11108,2978,5680,50796,18870,
2000,130700,张家口,2439319,14.3,42.3,43.4,,0.239978657,13300,6712,36862,891,80.35,1515167,35754,1029700,,22,10926,2879,5417,,,
1999,130700,张家口,2295098,13.8,43,43.1,,0.234690888,19000,6048,36873,898,57.3,1444628,31678,961434,,22,,2721,5269,,,
1998,130700,张家口,2283239,19.5,41.2,39.3,,0.233004002,,5343,36873,899,160.45,,,898151,,22,10855,2821,5370,,,
1997,130700,张家口,2172573,15.87,46.65,37.48,,0.230316526,,4879,36873,899,77.92,,,821403,,21,,1552,5356,,,
1996,130700,张家口,1937140,22.1,41.7,36.2,,0.226227343,,4710,36873,900,158.18,,,753118,,,,1844,5164,,,
1995,130700,张家口,1594731,22.6,41.8,35.6,,0.223237508,,4421,36873,900,118.92,,,657721,,,,2669,2222,,,
1994,130700,张家口,1255305,22.948,43.399,33.653,,0.216705176,,3960.82,36873,901,130.3,,,548190,,,,2269,2547,,,
1993,130700,张家口,845900,,,,,0.210795006,,,36873,901,73.1,,,453273,17804,,,1485,3273,,,
1992,130700,张家口,398700,,,,,0.572711472,,,,,21.2,,,,4647,,,812,2417,,,
1991,130700,张家口,304100,6.807,68.366,24.794,3028,0.560177866,,,2964,72.667,13,,,199887,,,,981,2133,,,
1990,130700,张家口,280100,7.105,69.582,23.349,2825,0.561966884,,,2964,73.333,22.87,,,173930,,,,759,1867,,,
2021,130800,承德,16970000,22.04,34,43.96,50749,NaN,,82769,,,,,,5009374,816557,,17805,,,1787,58320000,500560
2020,130800,承德,15500000,21.68,32.13,46.19,46119,#DIV/0!,,73929,,,,,,4741437,813262,,18273,,,,,482053
2019,130800,承德,14710000,20.26,33.21,46.53,41080,NaN,22209,69365,39490,,,,,4863306,787054,,17614,,,219940,1060000,468141
2018,130800,承德,14815102,18.05,36.27,45.68,41476,NaN,23732,65558,39490,,,,,6407414,715657,,17325,,,227246,960000,
2017,130800,承德,14654537,,,,41299,NaN,22761,60270,39490,,129.33,,,6033630,663827,,17603,,,216247,740000,437308
2016,130800,承德,14385741,16.53,45.79,37.68,40741,NaN,19146,53449,39493,,133.96,17438834,71647,5433067,607532,,18791,,,224260,670000,436404
2015,130800,承德,13587278,17.34,46.84,35.82,38505,NaN,19124,49071,39493,,121.21,16958010,65649,4907935,570380,24,17215,,,211022,490000,434725
2014,130800,承德,13425500,16.81,49.98,33.2,38128,NaN,18481,44512.74,39490,,124.01,17955130,93025,4418912,465273,24,16572,2831,7865,221472,460000,928933
2013,130800,承德,12720917,16.54,51.08,32.38,33653,NaN,19100,42323.1,39735,,147.43,18492986,93169,3925745,528348,23,15724,5935,9154,227162,410000,432400
2012,130800,承德,11819213,15.67,52.91,31.42,33791,NaN,19408,34605.77,39548,,135.2,17065672,75614,3497219,514602,23,16057,5421,8150,216095,410000,931192
2011,130800,承德,11042013,14.99,54.83,30.18,31705,NaN,18367,34136.94,39548,,140.5,16111441,84023,3038803,387977,20,13455,5198,7121,193597,339857,876700
2010,130800,承德,8889619,15.68,51.04,33.28,25699,NaN,24604,29964.94,39548,,130.9,12035210,51642,2580528,299265,20,12833,5020,5775,176204,254913,
2009,130800,承德,7601136,14.91,51.61,33.48,22198,NaN,24648,26725.12,39548,,86.98,9878449,58376,2181967,271866,21,11947,4773,4796,161691,202390,
2008,130800,承德,7149413,15,60.17,24.83,21048,0.265444799,23833,24209.28,39548,,130.64,10761280,86604,1849731,256691,20,11111,4686,4545,144773,182804,
2007,130800,承德,5535406,16.58,56.32,27.1,16377,0.265747227,20857,18962.82,39548,330,111.81,7173809,72675,1527711,186999,22,10319,4229,4422,141560,150897,
2006,130800,承德,4279969,17.74,52.46,29.79,12688,0.265348767,19626,14978.36,39548,330,108.8,4893196,67610,1328772,117139,19,9287,3920,4190,121700,106477,
2005,130800,承德,3602892,18.25,50.94,30.81,10723,0.241170283,16080,13899.08,39548,331,111.6,3854662,61064,1178961,100157,19,8959,3536,3666,103155,103062,
2004,130800,承德,3006156,18.27,49.63,32.09,8352,0.230669032,9725,12917.6,39548,335,105.7,3005247,44569,1029607,79401,19,8276,3116,3240,138207,82058,
2003,130800,承德,2349782,18.5,46.72,34.78,6555,0.241965131,9300,10761.39,39548,341,60.9,1833740,36791,917159,65980,18,8589,3033,3181,44666,77941,
2002,130800,承德,2000110,19.1,43.33,37.57,5608,0.19664664,7518,9542.9,39513,281,73.9,1324610,17260,865245,,18,8914,3152,3349,86200,45290,
2001,130800,承德,1824136,19.63,42.87,37.5,5143,0.192590092,7900,8149.34,39513,337,88.35,1153012,16490,813322,,17,9118,2939,3108,78910,35934,
2000,130800,承德,1630258,16.3,44.7,38.9,,0.187809082,6614,7168,39513,339,33.35,1052037,25400,763300,,17,9169,2831,3087,,,
1999,130800,承德,1585321,21,42.7,36.2,,0.186168256,6090,6255,39548,339,62.44,970997,23993,701507,,19,,2750,2944,,,
1998,130800,承德,1602771,29.4,38.8,31.9,,0.183753134,,5662,39548,339,147.91,,,656325,,18,8863,2330,2821,,,
1997,130800,承德,1418522,29.27,38.93,31.81,,0.176894894,,5067,39548,340,132.77,,,592198,,19,,2056,2706,,,
1996,130800,承德,1223426,31.4,36.9,31.7,,0.171471316,,4604,39548,339,147.39,,,519522,,,,2054,2484,,,
1995,130800,承德,977513,35.1,32.8,32.1,,0.164140609,,4276,39548,339,125.95,,,450659,,,,2245,2388,,,
1994,130800,承德,832975,32.668,40.903,26.429,,0.085581124,,3676.5,39548,340,114.2,,,350885,,,,1698,1981,,,
1993,130800,承德,621100,,,,,0.153839398,,,39548,342,119.4,,,287714,13176,,,1622,3828,,,
1992,130800,承德,200000,,,,,0.336673347,,,,,18.1,,,,3219,,,677,524,,,
1991,130800,承德,164200,18.819,52.862,28.38,1946,0.332270258,,,4471,42.667,17,,,87088,,,,572,464,,,
1990,130800,承德,148600,22.073,48.923,29.004,1779,0.333452211,,,4471,42.667,19.16,,,78373,,,,526,476,,,
2021,130900,沧州,41630000,8,41.51,50.49,57009,NaN,,86619,,,,,,11146791,1564740,,37493,,,4368,8550000,817766
2020,130900,沧州,37000000,8.51,38.76,52.73,50713,#DIV/0!,,80905,,,,,,10520177,1557936,,34102,,,,,812459
2019,130900,沧州,35880000,8.16,39.86,51.98,47663,NaN,22281,79779,14304,,,,,10845973,1506790,,34113,,,422815,2290000,752314
2018,130900,沧州,36764121,7.5,42.98,49.52,48562,NaN,22113,73826,14304,,,,,14298762,1306344,,33884,,,403513,2140000,730679
2017,130900,沧州,36434034,,,,48384,NaN,23203,66984,14035,,447.68,,,13551723,1220731,,31469,,,442425,1780000,705829
2016,130900,沧州,35446800,8.71,49.59,41.7,47425,NaN,22534,58122,14035,,455.54,56908888,2349517,12278129,1066808,,34257,,,119476,1460000,671128
2015,130900,沧州,33206328,9.62,49.58,40.8,44819,NaN,23694,54779,14035,,444.61,57891827,3720344,11091272,1034550,18,32452,,,409328,1030000,652573
2014,130900,沧州,31333822,10.14,51.97,37.89,42676,NaN,23594,48082.23,14035,,449.11,56804836,3590997,10078974,752865,16,29628,4979,29219,425180,920000,1062528
2013,130900,沧州,30129850,10.39,52.27,37.34,39960,NaN,24435,43475.67,14053,,477.37,53116876,4742677,8862458,704699,16,26632,10241,35406,432427,830000,607419
2012,130900,沧州,28124212,11.35,52.59,36.06,38949,NaN,23720,40356.77,14053,,483.7,45068171,4106745,7879713,737754,14,19872,9841,30803,401765,,1035900
2011,130900,沧州,25851998,11.44,52.56,36,36053,NaN,23117,36199.75,14053,,494.3,37073550,3927584,6838304,543775,12,23649,10111,26003,368155,628629,1032800
